RUNNUMBER,PRESSURE_MEAN,D1_MAX,MEAN_A_MEAN,SUM_D1_MAX_MEAN_A_MEAN,GAIN,RUNPERIOD
81655,99.131,299.65,0.414974875,300.06497487499996,0.132,RP_2021
81656,99.256,299.65,0.4288803749999999,300.078880375,0.133,RP_2021
81651,98.9373,299.75,0.4382745,300.1882745,0.13,RP_2021
81649,98.8928,299.65,0.397487,300.047487,0.129,RP_2021
81650,98.932,299.75,0.34019725,300.09019725,0.129,RP_2021
81563,100.367,300.25,0.376118,300.626118,0.139,RP_2021
81551,100.166,299.65,0.4247085,300.0747085,0.14,RP_2021
81489,100.28,299.54999999999995,1.65904,301.20903999999996,0.141,RP_2021
81556,100.151,300.04999999999995,0.423735625,300.47373562499996,0.139,RP_2021
81664,99.8301,299.75,0.2360003875,299.9860003875,0.138,RP_2021
81531,99.9298,299.54999999999995,1.9234875,301.4734875,0.138,RP_2021
81535,99.6582,299.54999999999995,0.4277053749999999,299.97770537499997,0.134,RP_2021
81658,99.2878,299.65,0.420817,300.070817,0.133,RP_2021
81547,99.96,299.54999999999995,0.406861,299.95686099999995,0.137,RP_2021
81548,99.9751,299.65,0.39989925,300.04989924999995,0.136,RP_2021
81619,99.8862,299.75,1.7753125,301.5253125,0.144,RP_2021
81540,99.3905,299.65,0.397874375,300.047874375,0.131,RP_2021
81549,100.061,299.65,0.39956525,300.04956525,0.138,RP_2021
81526,100.039,299.45,1.6611225,301.11112249999996,0.139,RP_2021
81543,99.7785,299.65,0.43231975,300.08231974999995,0.135,RP_2021
81594,100.44,299.75,1.5797,301.3297,0.143,RP_2021
81559,100.307,300.15,0.303677425,300.45367742499997,0.138,RP_2021
81572,100.584,300.25,1.8744225,302.1244225,0.143,RP_2021
81534,99.6935,299.54999999999995,0.3968105,299.94681049999997,0.135,RP_2021
81536,99.5868,299.54999999999995,0.325457475,299.87545747499996,0.133,RP_2021
81525,99.9659,299.45,2.035545,301.485545,0.138,RP_2021
81554,99.9758,299.75,0.4175173749999999,300.167517375,0.138,RP_2021
81560,100.271,300.15,0.35348525,300.50348525,0.138,RP_2021
81564,100.1,300.15,0.6943961249999999,300.844396125,0.137,RP_2021
81487,100.369,299.54999999999995,2.0437462500000003,301.59374625,0.142,RP_2021
81544,99.9111,299.54999999999995,0.421404625,299.97140462499993,0.135,RP_2021
81690,100.798,299.85,1.692935,301.542935,0.148,RP_2021
