PRESSURE_MEAN,MEAN_A_MEAN,D1_MAX,SUM_D1_MAX_MEAN_A_MEAN,GAIN,RUNNUMBER
97.6,0.2,298.2,298.4,0.151,999999
97.6,0.2,298.4,298.6,0.151,999999
97.6,0.2,298.6,298.8,0.151,999999
97.6,0.2,298.8,299.0,0.151,999999
97.6,0.2,299.0,299.2,0.151,999999
97.6,0.2,299.2,299.4,0.151,999999
97.6,0.2,299.4,299.6,0.151,999999
97.6,0.2,299.6,299.8,0.151,999999
97.6,0.2,299.8,300.0,0.151,999999
97.6,0.2,300.0,300.2,0.151,999999
97.6,0.2,300.2,300.4,0.151,999999
97.6,0.2,300.4,300.6,0.151,999999
97.6,0.2,300.6,300.8,0.151,999999
97.6,0.2,300.8,301.0,0.151,999999
97.6,0.2,301.0,301.2,0.151,999999
97.6,0.4,298.2,298.6,0.151,999999
97.6,0.4,298.4,298.8,0.151,999999
97.6,0.4,298.6,299.0,0.151,999999
97.6,0.4,298.8,299.2,0.151,999999
97.6,0.4,299.0,299.4,0.151,999999
97.6,0.4,299.2,299.6,0.151,999999
97.6,0.4,299.4,299.8,0.151,999999
97.6,0.4,299.6,300.0,0.151,999999
97.6,0.4,299.8,300.2,0.151,999999
97.6,0.4,300.0,300.4,0.151,999999
97.6,0.4,300.2,300.6,0.151,999999
97.6,0.4,300.4,300.8,0.151,999999
97.6,0.4,300.6,301.0,0.151,999999
97.6,0.4,300.8,301.2,0.151,999999
97.6,0.4,301.0,301.4,0.151,999999
97.6,0.6,298.2,298.8,0.151,999999
97.6,0.6,298.4,299.0,0.151,999999
97.6,0.6,298.6,299.2,0.151,999999
97.6,0.6,298.8,299.4,0.151,999999
97.6,0.6,299.0,299.6,0.151,999999
97.6,0.6,299.2,299.8,0.151,999999
97.6,0.6,299.4,300.0,0.151,999999
97.6,0.6,299.6,300.2,0.151,999999
97.6,0.6,299.8,300.4,0.151,999999
97.6,0.6,300.0,300.6,0.151,999999
97.6,0.6,300.2,300.8,0.151,999999
97.6,0.6,300.4,301.0,0.151,999999
97.6,0.6,300.6,301.2,0.151,999999
97.6,0.6,300.8,301.4,0.151,999999
97.6,0.6,301.0,301.6,0.151,999999
97.6,0.8,298.2,299.0,0.151,999999
97.6,0.8,298.4,299.2,0.151,999999
97.6,0.8,298.6,299.4,0.151,999999
97.6,0.8,298.8,299.6,0.151,999999
97.6,0.8,299.0,299.8,0.151,999999
97.6,0.8,299.2,300.0,0.151,999999
97.6,0.8,299.4,300.2,0.151,999999
97.6,0.8,299.6,300.4,0.151,999999
97.6,0.8,299.8,300.6,0.151,999999
97.6,0.8,300.0,300.8,0.151,999999
97.6,0.8,300.2,301.0,0.151,999999
97.6,0.8,300.4,301.2,0.151,999999
97.6,0.8,300.6,301.4,0.151,999999
97.6,0.8,300.8,301.6,0.151,999999
97.6,0.8,301.0,301.8,0.151,999999
97.6,1.0,298.2,299.2,0.151,999999
97.6,1.0,298.4,299.4,0.151,999999
97.6,1.0,298.6,299.6,0.151,999999
97.6,1.0,298.8,299.8,0.151,999999
97.6,1.0,299.0,300.0,0.151,999999
97.6,1.0,299.2,300.2,0.151,999999
97.6,1.0,299.4,300.4,0.151,999999
97.6,1.0,299.6,300.6,0.151,999999
97.6,1.0,299.8,300.8,0.151,999999
97.6,1.0,300.0,301.0,0.151,999999
97.6,1.0,300.2,301.2,0.151,999999
97.6,1.0,300.4,301.4,0.151,999999
97.6,1.0,300.6,301.6,0.151,999999
97.6,1.0,300.8,301.8,0.151,999999
97.6,1.0,301.0,302.0,0.151,999999
97.6,1.2,298.2,299.4,0.151,999999
97.6,1.2,298.4,299.6,0.151,999999
97.6,1.2,298.6,299.8,0.151,999999
97.6,1.2,298.8,300.0,0.151,999999
97.6,1.2,299.0,300.2,0.151,999999
97.6,1.2,299.2,300.4,0.151,999999
97.6,1.2,299.4,300.6,0.151,999999
97.6,1.2,299.6,300.8,0.151,999999
97.6,1.2,299.8,301.0,0.151,999999
97.6,1.2,300.0,301.2,0.151,999999
97.6,1.2,300.2,301.4,0.151,999999
97.6,1.2,300.4,301.6,0.151,999999
97.6,1.2,300.6,301.8,0.151,999999
97.6,1.2,300.8,302.0,0.151,999999
97.6,1.2,301.0,302.2,0.151,999999
97.6,1.4,298.2,299.6,0.151,999999
97.6,1.4,298.4,299.8,0.151,999999
97.6,1.4,298.6,300.0,0.151,999999
97.6,1.4,298.8,300.2,0.151,999999
97.6,1.4,299.0,300.4,0.151,999999
97.6,1.4,299.2,300.6,0.151,999999
97.6,1.4,299.4,300.8,0.151,999999
97.6,1.4,299.6,301.0,0.151,999999
97.6,1.4,299.8,301.2,0.151,999999
